1.12.12.12       # dot.pub
1.230.209.26     # agh.kyusang.win
2.45.195.237     # block.abstergo.it
5.2.75.75        # doh.nl.ahadns.net
5.11.11.5        # africadns1.liquidtelecom.net
5.11.11.11       # africadns2.liquidtelecom.net
5.15.68.149      # noads.imbuffering.com
5.75.228.192     # ns.data.haus
5.78.158.2       # adguard.ihatemy.live
5.79.70.195      # dns.ginovs.nl
5.161.43.197     # chromium.dns.nextdns.io
5.196.74.76      # dns.mh4ckt3mh4ckt1c4s.xyz
8.8.4.4          # 8888.google, dns.google, google-public-dns-b.google.com
8.8.8.8          # 8888.google, dns.google
8.26.56.26       # ns1.recursive.dnsbycomodo.com
8.212.93.3       # vip3.alidns.com
8.212.93.8       # vip8.alidns.com
9.9.9.9          # dns.quad9.net
9.9.9.10         # dns-nosec.quad9.net
9.9.9.12         # dns12.quad9.net
14.1.112.11      # vip21.alidns.com
14.1.112.12      # vip22.alidns.com
14.1.112.16      # vip26.alidns.com
14.1.112.25      # vip27.alidns.com
14.171.94.63     # tungdnsne.duckdns.org
15.204.209.29    # dns.freyja.pw
15.204.227.22    # dns.dns-53.us
17.132.88.111    # doh.dns.apple.com
17.132.88.116    # doh.dns.apple.com
17.132.88.120    # doh.dns.apple.com
17.248.169.133   # mask.icloud.com
17.248.169.136   # mask.icloud.com
17.248.169.164   # mask.icloud.com
17.248.169.200   # mask.icloud.com
17.248.169.201   # mask.icloud.com
17.248.171.4     # mask.icloud.com
17.248.171.10    # mask.icloud.com
17.248.171.11    # mask.icloud.com
17.248.171.35    # mask.icloud.com
17.248.171.36    # mask.icloud.com
17.248.171.53    # mask.icloud.com
17.248.174.76    # mask.icloud.com
17.248.188.115   # mask.icloud.com
17.250.96.103    # mask.icloud.com
17.250.96.107    # mask.icloud.com
17.250.96.110    # mask.icloud.com
17.253.96.119    # doh.dns.apple.com
23.94.211.166    # dns.novali.date
23.95.11.50      # dns.cryptomize.com
23.128.248.2     # dns.stormycloud.org
23.137.253.24    # abe01.dnscry.pt
23.149.108.16    # doh.beauty
23.191.80.43     # yhz01.dnscry.pt
23.230.253.98    # dfw02.dnscry.pt
23.239.3.190     # dns.efficientdocuments.com
23.239.10.192    # dns.fizz.studio
24.199.70.134    # qdns02.nymterm.com
24.240.146.8     # doh-02.spectrum.com
31.13.248.149    # dns.burgas.pro
31.70.73.6       # eliatofani.ovh
31.177.76.32     # adguard.neon0404.space
31.177.80.32     # adguard.neon0404.space
31.202.133.115   # dns.ha-dvin.pp.ua
36.133.139.25    # doh.18bit.cn
36.138.230.22    # doh.18bit.cn
36.156.184.156   # pdns.itxe.net
37.16.18.81      # fly.io
37.19.207.37     # doh2.b-cdn.net
37.27.218.33     # resolver.rferee.dev
37.114.32.8      # dns.internal.hosmatic.com
37.120.183.220   # dns.kernel-error.de
37.120.187.202   # adguard.shutgaming.net
37.157.254.69    # dns.expert
37.187.24.84     # dns.k3nny.fr
37.187.149.237   # dns.lvolland.fr
37.221.95.37     # dns.foxyfy.net
37.221.194.95    # dns.neeb.it
37.252.230.153   # steering.nextdns.io
38.47.180.115    # dns.glorydns.com
38.107.232.115   # ada.openbld.net
38.107.237.45    # ada.openbld.net
38.180.230.56    # b-ii.com
39.96.153.45     # ns1.alidns.com
39.96.153.46     # ns2.alidns.com
39.96.153.47     # ns7.alidns.com
39.96.153.48     # ns8.alidns.com
39.96.153.55     # ns1.alidns.com
39.96.153.56     # ns2.alidns.com
39.96.153.57     # ns7.alidns.com
39.96.153.58     # ns8.alidns.com
42.51.13.218     # doh.18bit.cn
42.51.37.18      # doh.18bit.cn
42.51.37.204     # doh.18bit.cn
42.51.41.217     # doh.18bit.cn
43.129.183.116   # dns.mbrjun.cn
43.130.30.237    # dns.weixin.qq.com.cn
43.130.30.240    # dns.weixin.qq.com.cn
43.154.23.198    # cloud.198.games
43.154.154.162   # dns.flymc.cc
43.161.224.5     # blog.kimiblock.top
43.161.254.162   # blog.kimiblock.top
43.169.13.124    # i.233py.com, ndns.233py.com
43.169.14.124    # i.233py.com, ndns.233py.com
43.169.15.124    # dns.233py.com, wdns.233py.com
43.224.180.137   # bne01.dnscry.pt
43.255.123.52    # dns.jiyi.eu
45.8.222.99      # jp-nrt.doh.sb
45.8.222.100     # jp-nrt.doh.sb
45.8.222.101     # jp-nrt.doh.sb
45.8.222.102     # jp-nrt.doh.sb
45.8.222.103     # jp-nrt.doh.sb
45.11.45.11      # dns.sb, doh.sb
45.32.75.24      # cleanbrowsing.org
45.32.86.63      # lelux.fi
45.33.60.119     # dns.elemental.software
45.63.105.236    # dns.liberador.net
45.67.81.23      # dns.aquilenet.fr
45.67.219.208    # dot.la.ahadns.net
45.76.113.31     # doh-2.seby.io, dot.seby.io
45.77.25.253     # doh003.280blocker.net
45.77.31.67      # at.pzhg.me
45.79.17.103     # dns.mzjtechnology.com
45.79.94.155     # dns.csswg.org
45.79.102.67     # dns.startupstack.tech
45.79.104.153    # dns.falkenthal.org
45.79.156.126    # adg.jnorton.us
45.79.248.146    # dns.13evl.com
45.86.125.58     # dns.dnshome.de
45.86.125.59     # dns.dnshome.de
45.86.162.110    # ams02.dnscry.pt
45.90.28.0       # anycast.dns.nextdns.io
45.90.30.0       # anycast.dns.nextdns.io
45.95.38.29      # naw01.dnscry.pt
45.95.80.221     # dns.b33.space
45.125.0.26      # hk-hkg.doh.sb
45.129.181.164   # dns.kescher.at
45.133.117.91    # blackhole.myon.lu
45.134.88.121    # dns.flatuslifir.is
45.142.17.72     # dns.odinpl.com
45.142.233.169   # dns.lermer.nl
45.142.244.191   # steering.nextdns.io
45.154.109.53    # dns.ffnw.de
45.155.37.165    # cvt01.dnscry.pt
46.4.94.249      # dns.3wv.de
46.38.231.33     # ag.marschi.de
46.101.110.57    # c.cicitt.ch
46.165.221.100   # cryptostorm.is
46.165.252.147   # dns.smartguard.io
46.224.208.209   # dns.decloudus.com
46.226.108.173   # dns.hostux.net
46.226.109.82    # dns.hostux.net
46.226.143.83    # dns.cert.ee
46.226.143.86    # dns.cert.ee
46.227.200.52    # pdns.faelix.net
46.227.203.52    # pdns.faelix.net
46.227.207.52    # pdns.faelix.net
46.250.226.242   # dot-sg.blahdns.com
46.253.255.81    # dns.hanmey.de
47.88.44.151     # vip21.alidns.com
47.88.44.152     # vip22.alidns.com
47.88.44.156     # vip26.alidns.com
47.88.44.157     # vip27.alidns.com
47.88.82.209     # vip8.alidns.com
47.88.134.33     # vip27.alidns.com
47.89.71.33      # vip27.alidns.com
47.89.132.33     # vip27.alidns.com
47.100.62.161    # agh.xinfeng16m.top
47.107.121.125   # dns.ikataruto.com
47.118.199.205   # ns1.alidns.com
47.118.199.206   # ns2.alidns.com
47.118.199.207   # ns7.alidns.com
47.118.199.208   # ns8.alidns.com
47.118.199.215   # ns1.alidns.com
47.118.199.216   # ns2.alidns.com
47.118.199.217   # ns7.alidns.com
47.118.199.218   # ns8.alidns.com
47.243.86.248    # dns.23-4.cn
47.243.233.55    # sunnygyl.com
47.246.88.161    # vip27.alidns.com
47.253.24.28     # vip8.alidns.com
47.254.160.177   # vip8.alidns.com
49.0.2.184       # dns1.irumatech.com
49.12.43.208     # clean.dnsforge.de
49.12.99.89      # adguard.abd.ong
49.12.223.2      # clean.dnsforge.de
49.12.230.234    # chaos-system.de
49.13.60.236     # adguard.kiboko.it
49.13.95.125     # de-fsn-w-p-1.nashkan.net
49.212.198.36    # adguard.kantinyoyok.xyz, axaxa.fun, dns.kugoapps.com
49.212.198.51    # catchen121299.top, dns.daarrk.tech, maqgie.xyz
49.212.198.52    # adguard.ajinga.net, adguard.londonwebnerd.cloud, atris.cyou, cynntex.fun, deep-henchman-excuse.cfd, dns.cybertonic.tech
49.212.207.51    # adg.yybyy.wiki, ads.hunga1k47.com, ag.brianlee.fun, dns-free.link, quic.lol
49.212.235.34    # dns.auapi.fun
49.212.235.44    # dns.butterfly87.sbs, dns.f97.xyz, dns.lsho.top
49.235.74.116    # dns.zzuhacker.cn
50.116.59.251    # adguard.shoupperuser.com
51.77.106.89     # dns-privacy.puregeni.us
51.77.149.139    # dns.kawa.tf
51.79.160.237    # dns.infosec.xyz
51.79.178.52     # dns.doh.best
51.91.192.251    # dns.liberador.net
51.159.138.172   # dns.wargan.io
51.161.115.44    # cleanbrowsing.org
51.178.29.75     # dns.alloxr.info
51.178.82.98     # dns.crystalyx.net
51.178.136.114   # dns.hellozhao.com
54.37.79.68      # dns.cwlys.com
54.38.32.102     # dns.charraud.eu
54.38.55.250     # adguard.alu.dog
54.38.215.19     # dns.dns-53.uk
57.129.98.79     # dns.cwlys.com
58.87.96.15      # dns.beardic.cn
59.127.0.184     # dns.chunghwamc.com
59.127.175.174   # dns.jhangy.us
60.205.247.82    # dns.imaicool.com
62.46.40.142     # cfdjb.org
62.133.35.15     # de-dus.doh.sb
62.192.153.243   # dns.dnsguard.pub
62.210.6.110     # dns.maybe.icu
64.44.177.34     # us-jac-w-p-1.nashkan.net
64.78.200.1      # doh.dns.apple.com
64.78.201.1      # doh.dns.apple.com
64.118.135.26    # adg.geili.me
64.176.188.144   # dns.7vpn.com
65.21.253.73     # fi-hel-w-f-2.nashkan.net
65.108.54.17     # dns.anon.no
66.33.60.34      # arashi.net.eu.org
66.33.60.35      # arashi.net.eu.org
66.33.60.66      # arashi.net.eu.org
66.33.60.130     # arashi.net.eu.org
66.33.60.194     # arashi.net.eu.org
66.55.159.186    # dnswebvsn.com
66.63.177.126    # doh.sz-dns.com
66.175.223.143   # dns.stirringphoto.com
66.187.7.140     # dtw01.dnscry.pt
68.74.137.173    # agh.gloom.nexus
68.105.28.11     # doh.cox.net
68.105.28.12     # doh.cox.net
69.70.16.42      # zougloub.eu
70.34.255.128    # dns.netvpn.net
70.253.80.157    # dns.sarakas.net
