203.180.140.77      # iij.jp
185.228.168.168     # family-filter-dns.cleanbrowsing.org
146.112.41.3        # doh.familyshield.opendns.com
185.228.168.10      # doh.cleanbrowsing.org
185.228.168.168     # doh.cleanbrowsing.org
24.240.146.7        # doh-01.spectrum.com
104.128.62.173      # doh.dns.sb
9.9.9.10            # dns-nosec.quad9.net
185.228.168.10      # adult-filter-dns.cleanbrowsing.org
96.106.7.232        # doh.xfinity.com
185.228.168.9       # security-filter-dns.cleanbrowsing.org
104.18.0.48         # sky.rethinkdns.com
104.18.1.48         # sky.rethinkdns.com
68.105.28.11        # doh.cox.net
68.105.28.12        # doh.cox.net
162.159.62.1        # odoh.cloudflare-dns.com
172.64.42.1         # odoh.cloudflare-dns.com
146.112.41.2        # doh.opendns.com
104.16.249.249      # cloudflare-dns.com
104.16.248.249      # cloudflare-dns.com
24.240.146.8        # doh-02.spectrum.com
172.64.41.4         # mozilla.cloudflare-dns.com
162.159.61.4        # mozilla.cloudflare-dns.com
133.167.212.25      # dnsnl.alekberg.net
172.64.41.8         # dns.cloudflare.com
162.159.61.8        # dns.cloudflare.com
104.21.49.234       # free.bravedns.com
172.67.195.148      # free.bravedns.com
104.238.181.28      # firefox.dns.nextdns.io
209.209.57.165      # firefox.dns.nextdns.io
172.64.41.5         # opera.cloudflare-dns.com
162.159.61.5        # opera.cloudflare-dns.com
149.112.112.13      # dns13.quad9.net
9.9.9.13            # dns13.quad9.net
9.9.9.10            # dns10.quad9.net
149.112.112.10      # dns10.quad9.net
162.159.61.3        # chrome.cloudflare-dns.com
172.64.41.3         # chrome.cloudflare-dns.com
9.9.9.11            # dns11.quad9.net
149.112.112.11      # dns11.quad9.net
137.66.7.89         # max.rethinkdns.com
209.209.57.165      # chromium.dns.nextdns.io
104.238.181.28      # chromium.dns.nextdns.io
172.67.195.148      # basic.bravedns.com
104.21.49.234       # basic.bravedns.com
1.0.0.3             # family.cloudflare-dns.com
1.1.1.3             # family.cloudflare-dns.com
162.159.62.2        # dooh.cloudflare-dns.com
172.64.42.2         # dooh.cloudflare-dns.com
212.60.63.246       # doh.quickline.ch
212.60.61.246       # doh.quickline.ch
149.28.121.105      # cleanbrowsing.org
45.32.75.24         # cleanbrowsing.org
103.2.57.6          # public.dns.iij.jp
103.2.57.5          # public.dns.iij.jp
1.1.1.1             # 1dot1dot1dot1.cloudflare-dns.com
1.0.0.1             # 1dot1dot1dot1.cloudflare-dns.com
149.112.112.9       # dns9.quad9.net
9.9.9.9             # dns9.quad9.net
185.43.135.1        # odvr.nic.cz
193.17.47.1         # odvr.nic.cz
104.18.1.3          # tor.cloudflare-dns.com
104.18.0.3          # tor.cloudflare-dns.com
149.112.112.12      # dns12.quad9.net
9.9.9.12            # dns12.quad9.net
109.236.120.2       # dns.levonet.sk
109.236.119.2       # dns.levonet.sk
104.18.0.48         # rethinkdns.com
104.18.1.48         # rethinkdns.com
149.112.112.112     # dns.quad9.net
9.9.9.9             # dns.quad9.net
104.18.1.48         # basic.rethinkdns.com
104.18.0.48         # basic.rethinkdns.com
1.1.1.2             # security.cloudflare-dns.com
1.0.0.2             # security.cloudflare-dns.com
172.67.68.89        # nextdns.io
104.26.10.186       # nextdns.io
104.26.11.186       # nextdns.io
172.67.195.148      # bravedns.com
104.21.49.234       # bravedns.com
8.8.4.4             # google-public-dns-b.google.com
8.8.8.8             # google-public-dns-a.google.com
8.8.4.4             # 8888.google
8.8.8.8             # 8888.google
8.8.4.4             # dns.google
8.8.8.8             # dns.google
8.8.8.8             # dns.google.com
8.8.4.4             # dns.google.com
