2600:6c7f:f000:202::7                   # doh-01.spectrum.com
2600:6c7f:f000:202::8                   # doh-02.spectrum.com
2a09:8280:1::1:7432                     # max.rethinkdns.com
2620:fe::10                             # dns-nosec.quad9.net
2001:300::6                             # public.dns.iij.jp
2001:300::5                             # public.dns.iij.jp
2620:fe::9                              # dns.quad9.net
2620:fe::fe                             # dns.quad9.net
2803:f800:53::5                         # opera.cloudflare-dns.com
2a06:98c1:52::5                         # opera.cloudflare-dns.com
2620:fe::13                             # dns13.quad9.net
2620:fe::fe:13                          # dns13.quad9.net
2606:4700:4700::1001                    # 1dot1dot1dot1.cloudflare-dns.com
2606:4700:4700::1111                    # 1dot1dot1dot1.cloudflare-dns.com
2620:fe::11                             # dns11.quad9.net
2620:fe::fe:11                          # dns11.quad9.net
2403:3a00:107:29:133:167:212:25         # dnsnl.alekberg.net
2620:fe::fe:12                          # dns12.quad9.net
2620:fe::12                             # dns12.quad9.net
2620:fe::fe:10                          # dns10.quad9.net
2620:fe::10                             # dns10.quad9.net
2620:119:fc::3                          # doh.familyshield.opendns.com
2606:4700::6810:f9f9                    # cloudflare-dns.com
2606:4700::6810:f8f9                    # cloudflare-dns.com
2a06:98c1:52::8                         # dns.cloudflare.com
2803:f800:53::8                         # dns.cloudflare.com
2803:f800:54::1                         # odoh.cloudflare-dns.com
2a06:98c1:53::1                         # odoh.cloudflare-dns.com
2a02:6ca3:0:1::2                        # dns.levonet.sk
2a02:6ca3:0:2::2                        # dns.levonet.sk
2a00:11c0:8:4::9                        # chromium.dns.nextdns.io
2001:19f0:7400:137a:5400:4ff:fedf:6c6d  # chromium.dns.nextdns.io
2001:148f:fffe::1                       # odvr.nic.cz
2001:148f:ffff::1                       # odvr.nic.cz
2620:fe::9                              # dns9.quad9.net
2620:fe::fe:9                           # dns9.quad9.net
